ips1;ips2;ips3;ips4;ips5;ips6;ips7;ips8;ipk
348;335;339;364;305;31;142;2;293
348;335;352;364;314;314;142;1;284
367;4;37;364;348;386;167;3;338
386;385;374;373;319;357;167;2;32
333;33;309;305;271;252;0;1;238
4;4;374;4;362;39;167;2;337
29;345;326;327;243;3;15;3;285
4;4;391;4;386;39;167;4;367
376;38;37;359;333;324;142;3;323
376;375;352;373;348;31;167;3;325
4;37;37;359;31;371;167;2;318
348;35;33;364;305;338;167;2;3
4;385;37;373;324;376;167;3;337
362;365;339;373;329;348;167;1;298
338;375;361;364;305;314;167;2;303
271;27;296;314;305;286;142;1;248
362;365;343;359;276;319;142;3;308
371;37;357;359;362;357;167;2;318
4;4;4;4;4;39;167;1;332
333;335;313;35;314;286;67;3;287
324;39;352;373;314;348;167;1;296
39;35;361;373;348;352;167;2;318
314;305;287;0;0;3;0;3;188
295;325;33;0;0;0;0;4;169
338;6;0;0;0;0;0;4;1
333;335;326;359;324;333;167;3;31
367;39;348;359;305;324;142;2;304
343;0;0;0;0;0;0;1;55
371;4;348;373;314;338;142;2;311
367;38;322;286;252;338;1;3;293
324;335;335;373;31;329;167;2;297
52;0;0;0;0;0;0;2;32
338;365;339;336;3;31;142;1;279
305;325;296;3;214;262;125;3;266
329;39;339;359;3;314;167;3;312
324;37;33;364;329;338;167;3;315
314;285;296;327;281;314;142;3;282
352;375;339;373;305;338;167;2;306
362;39;37;359;348;3;167;2;312
367;365;326;364;314;362;167;1;296
281;285;257;282;214;0;0;1;177
338;75;0;0;0;0;0;3;89
333;37;309;364;295;286;67;3;291
357;4;37;4;324;348;167;2;321
314;33;291;295;233;267;67;3;262
39;35;361;386;3;338;167;2;312
348;37;365;373;348;333;167;1;301
333;36;343;345;343;319;167;4;326
338;33;317;323;14;0;0;1;178
357;375;339;373;314;329;167;3;319
376;38;361;359;324;357;75;2;304
386;375;378;364;324;376;167;1;309
343;375;37;364;338;324;167;3;323
352;365;3;3;0;286;0;2;225
357;365;339;377;29;319;167;2;302
381;365;37;377;29;31;142;1;292
314;335;283;277;214;238;167;2;254
338;365;0;0;304;305;0;1;177
367;385;352;359;324;338;167;1;299
